Postcode,Population
CB24 4,3373
CB24 5,6992
CB24 6,4321
CB24 8,6652
CB24 9,7998
CB25 0,8354
CB25 9,10217
CB3  0,8884
CB3  9,7659
CB4  1,16155
CB4  2,14621
CB4  3,11828
CB5  8,11221
CB6  1,12631
CB6  2,12142
CB6  3,14248
CB7  4,8763
CB7  5,18301
CB8  0,9838
CB8  7,6596
CB8  8,9312
CB8  9,8050
CB9  0,8511
CB9  7,9934
CB9  8,6178
CB9  9,8799
CH1  1,915
CH1  2,964
CH1  3,3693
CH1  4,6845
CH1  5,13633
CH1  6,5020
CH2  1,9539
CH2  2,7834
CH2  3,9801
CH2  4,7722
CH3  5,12461
CH3  6,4913
CH3  7,6986
CH3  8,4057
CH3  9,4127
CH4  0,10405
CH4  7,7168
CH4  8,11667
CH4  9,3598
CH41 0,3697
CH41 1,532
CH41 2,2991
CH41 3,1307
CH41 4,3042
CH41 5,750
CH41 6,147
CH41 7,2277
CH41 8,2570
CH41 9,1654
CH42 0,2757
CH42 1,3396
CH42 2,2245
CH42 3,2683
CH42 4,3996
CH42 5,3124
CH42 6,4474
CH42 7,2345
CH42 8,2563
CH42 9,3984
CH43 0,5501
CH43 1,2795
CH43 2,4450
CH43 3,2638
CH43 4,2914
CH43 5,3633
CH43 6,1745
CH43 7,5838
CH43 8,1757
CH43 9,8289
CH44 0,3162
CH44 1,2809
CH44 2,2811
CH44 3,2510
CH44 4,4418
CH44 5,3120
CH44 6,2623
CH44 7,1837
CH44 8,3232
CH44 9,3883
CH45 0,1702
CH45 1,2832
CH45 2,2573
CH45 3,2591
CH45 4,3945
CH45 5,4927
CH45 6,2551
CH45 7,3524
CH45 8,4573
CH45 9,2145
CH46 0,3759
CH46 1,2800
CH46 2,2744
CH46 3,1865
CH46 5,529
CH46 6,5462
CH46 7,2709
CH46 8,3084
CH46 9,2947
CH47 0,637
CH47 1,674
CH47 2,2136
CH47 3,2343
CH47 4,948
CH47 5,800
CH47 6,931
CH47 7,1264
CH47 9,1348
CH48 0,1792
CH48 1,914
CH48 2,1388
CH48 3,1402
CH48 4,824
CH48 5,2739
CH48 6,2122
CH48 7,626
CH48 8,1322
CH48 9,2318
CH49 0,1774
CH49 1,2492
CH49 2,3724
CH49 3,3348
CH49 4,5183
CH49 5,1581
CH49 6,4153
CH49 7,2323
CH49 8,2744
CH49 9,1922
CH5  1,8720
CH5  2,7408
CH5  3,10055
CH5  4,17057
CH6  5,13409
CH6  6,3997
CH60 0,1301
CH60 1,1922
CH60 2,1534
CH60 3,1033
CH60 4,802
CH60 5,1958
CH60 6,1288
CH60 7,1233
CH60 8,985
CH60 9,1232
CH61 0,504
CH61 1,1238
CH61 2,628
CH61 3,1600
CH61 4,2915
CH61 5,2641
CH61 6,2445
CH61 7,1953
CH61 8,2190
CH61 9,1755
CH62 0,1112
CH62 1,3182
CH62 2,3593
CH62 3,1180
CH62 4,1920
CH62 5,2370
CH62 6,3984
CH62 7,3510
CH62 8,4943
CH62 9,3410
CH63 0,4706
CH63 1,310
CH63 2,5086
CH63 3,4454
CH63 4,331
CH63 5,4189
CH63 6,541
CH63 7,4002
CH63 8,3025
CH63 9,4455
CH64 0,2922
CH64 1,1452
CH64 2,1215
CH64 3,2030
CH64 4,2801
CH64 5,937
CH64 6,2976
CH64 7,295
CH64 8,153
CH64 9,4446
CH65 0,1194
CH65 2,2630
CH65 3,1156
CH65 4,890
CH65 5,3441
CH65 6,3248
CH65 7,3719
CH65 8,4766
CH65 9,5758
CH66 1,6156
CH66 2,13018
CH66 3,6178
CH66 4,8727
CH66 5,1019
CH66 6,391
CH66 7,189
CH7  1,10227
CH7  2,9709
CH7  3,6354
CH7  4,6163
CH7  5,6751
CH7  6,11702
CH8  7,9291
CH8  8,6303
CH8  9,5430
CM0  7,8472
CM0  8,7800
CM1  1,3642
CM1  2,16254
CM1  3,8670
CM1  4,13335
CM1  6,13568
CM1  7,8449
CM11 1,7358
CM11 2,11962
CM12 0,12541
CM12 9,7614
CM13 1,8524
CM13 2,10408
CM13 3,5973
CM14 4,10713
CM14 5,9364
CM15 0,8983
CM15 8,5855
CM15 9,8960
CM16 4,3748
CM16 5,3569
CM16 6,8169
CM16 7,6976
CM17 0,6973
CM17 9,14680
CM18 6,13075
CM18 7,11760
CM19 4,11023
CM19 5,8103
CM2  0,5387
CM2  6,15248
CM2  7,8564
CM2  8,15132
CM2  9,14900
CM20 1,6477
CM20 2,4079
CM20 3,11201
CM21 0,4380
CM21 9,6639
CM22 6,6954
CM22 7,6499
CM23 1,1576
CM23 2,7385
CM23 3,9493
CM23 4,13573
CM23 5,9266
CM24 8,6780
CM3  1,5707
CM3  2,5520
CM3  3,4994
CM3  4,9397
CM3  5,15145
CM3  6,9554
CM3  7,1583
CM3  8,3111
CM4  0,4650
CM4  9,5699
CM5  0,5492
CM5  9,5266
CM6  1,11887
CM6  2,6348
CM6  3,7371
CM7  1,9457
CM7  2,5621
CM7  3,11204
CM7  4,4301
CM7  5,9570
CM7  9,9407
CM77 6,2689
CM77 7,7576
CM77 8,5386
CM8  1,14225
CM8  2,12085
CM8  3,7048
CM9  4,9045
CM9  5,4336
CM9  6,11559
CM9  8,9147
CO1  1,4748
CO1  2,10491
CO10 0,13601
CO10 1,8459
CO10 2,4483
CO10 5,2299
CO10 7,6546
CO10 8,5446
CO10 9,6268
CO11 1,5737
CO11 2,7430
CO12 3,7091
CO12 4,11453
CO12 5,4043
CO13 0,8244
CO13 9,4068
CO14 8,6848
CO15 1,7354
CO15 2,6601
CO15 3,8767
CO15 4,8253
CO15 5,6854
CO15 6,5944
CO16 0,3087
CO16 7,5000
CO16 8,11102
