"ID","Short Postcode","Population"
"E01018890","TR14 0",4699
"E01018979","TR14 0",4699
"E01018864","TR14 0",4699
"E01018877","TR14 0",4699
"E01018871","TR14 7",8800
"E01018869","TR14 7",8800
"E01018877","TR14 7",8800
"E01018870","TR14 7",8800
"E01018875","TR14 7",8800
"E01018876","TR14 7",8800
"E01018878","TR14 7",8800
"E01018874","TR14 7",8800
"E01018873","TR14 7",8800
"E01018878","TR14 8",8881
"E01018868","TR14 8",8881
"E01018867","TR14 8",8881
"E01018865","TR14 8",8881
"E01018871","TR14 8",8881
"E01018866","TR14 8",8881
"E01018874","TR14 8",8881
"E01018877","TR14 8",8881
"E01018873","TR14 9",2389
"E01018869","TR14 9",2389
"E01018897","TR14 9",2389
"E01018872","TR14 9",2389
"E01018863","TR14 9",2389
"E01018911","TR15 1",6094
"E01018910","TR15 1",6094
"E01018914","TR15 1",6094
"E01018909","TR15 1",6094
"E01018912","TR15 1",6094
"E01018908","TR15 1",6094
"E01018913","TR15 2",6174
"E01018911","TR15 2",6174
"E01018917","TR15 2",6174
"E01018915","TR15 2",6174
"E01018912","TR15 2",6174
"E01018914","TR15 2",6174
"E01018914","TR15 3",7938
"E01018895","TR15 3",7938
"E01018897","TR15 3",7938
"E01018890","TR15 3",7938
"E01018896","TR15 3",7938
"E01018898","TR15 3",7938
"E01018889","TR15 3",7938
"E01018908","TR15 3",7938
"E01018908","TR16 4",5410
"E01018910","TR16 4",5410
"E01018896","TR16 4",5410
"E01018889","TR16 4",5410
"E01018893","TR16 4",5410
"E01018890","TR16 4",5410
"E01018892","TR16 4",5410
"E01018912","TR16 5",5143
"E01018918","TR16 5",5143
"E01018908","TR16 5",5143
"E01018919","TR16 5",5143
"E01018820","TR16 5",5143
"E01018825","TR16 5",5143
"E01018917","TR16 5",5143
"E01018829","TR16 5",5143
"E01018916","TR16 5",5143
"E01018892","TR16 5",5143
"E01018916","TR16 6",3685
"E01018894","TR16 6",3685
"E01018917","TR16 6",3685
"E01018829","TR16 6",3685
"E01018897","TR16 6",3685
"E01018922","TR16 6",3685
"E01018921","TR16 6",3685
"E01018914","TR16 6",3685
"E01018990","TR17 0",1455
"E01018988","TR17 0",1455
"E01019007","TR17 0",1455
"E01018995","TR18 2",5275
"E01018999","TR18 2",5275
"E01018998","TR18 2",5275
"E01018996","TR18 2",5275
"E01018997","TR18 2",5275
"E01018994","TR18 2",5275
"E01019001","TR18 2",5275
"E01018996","TR18 3",6406
"E01018998","TR18 3",6406
"E01018976","TR18 3",6406
"E01018977","TR18 3",6406
